age_of_customer,swimming_hours_per_week,biking_hours_per_week,running_hours_per_week,total_training_hours_per_week,vo2_max,10k_running_time_prediction,calories_burned_per_week,support_cases_of_customer,customer_years,most_current_software_update,synchronisation,user_of_latest_model,hot_enc__Male,hot_enc__Other,hot_enc__Germany,hot_enc__India,hot_enc__UK,hot_enc__USA,hot_enc__UnknownLand,hot_enc__Berlin,hot_enc__Birmingham,hot_enc__Brisbane,hot_enc__Chicago,hot_enc__Delhi,hot_enc__Hamburg,hot_enc__London,hot_enc__Los Angeles,hot_enc__Manchester,hot_enc__Melbourne,hot_enc__Mumbai,hot_enc__Munich,hot_enc__New York,hot_enc__Sydney,hot_enc__Fitness,hot_enc__Recreation,hot_enc__Evening,hot_enc__Morning,hot_enc__Free,hot_enc__Premium,hot_enc__White
46.0,0.0,6.07,4.12,10.19,47.58,44.88,5372.04,1.0,8.0,2024-09-30,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
28.0,4.49,12.67,2.16,19.32,58.64,38.66,9473.5,3.0,1.0,2024-06-20,1.0,1.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
50.0,1.59,3.06,1.59,6.24,38.63,47.83,3387.84,2.0,7.0,2024-03-06,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
28.0,2.0,6.12,1.6,9.72,64.04,44.49,4879.07,3.0,8.0,2024-05-03,1.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
50.0,0.0,1.68,0.56,2.24,37.86,49.09,1145.36,2.0,1.0,2024-11-03,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
38.0,0.49,1.77,2.47,4.74,50.77,42.84,2435.29,1.0,1.0,2024-07-18,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
56.0,0.79,10.52,0.88,12.19,39.36,55.89,6394.38,0.0,9.0,2023-10-29,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
48.0,4.04,9.7,6.23,19.98,247.2578,42.39,10273.42,1.0,2.0,2024-05-30,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
55.0,2.66,6.9,1.65,11.22,42.04,54.92,5891.59,4.0,6.0,2023-11-25,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
63.0,1.03,4.52,1.15,6.7,19.82,64.64,3259.9,0.0,1.0,2024-03-20,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
19.0,4.71,16.11,2.32,23.15,60.12,38.81,11867.92,1.0,0.0,2024-02-17,0.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
53.0,3.71,8.68,6.11,18.51,54.26,46.95,9464.88,3.0,3.0,2023-12-09,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
64.0,3.21,11.03,0.0,14.24,14.99,64.21,7125.14,3.0,2.0,2024-05-04,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
35.0,2.36,2.46,3.23,8.05,57.76,43.19,4305.51,0.0,0.0,2024-12-26,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
18.0,1.14,3.44,1.81,6.39,53.68,47.11,3465.58,3.0,0.0,2024-06-30,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
52.0,1.67,4.35,0.67,6.69,37.14,52.1,3454.28,4.0,3.0,2024-12-06,1.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
52.0,2.24,11.35,0.0,13.59,36.53,49.19,6975.39,2.0,0.0,2023-10-11,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.0,4.7,1.22,5.17,11.08,49.51,41.39,5348.34,2.0,0.0,2024-09-11,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
45.0,0.12,4.71,2.98,7.81,47.47,43.66,4039.04,0.0,9.0,2024-12-29,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
56.0,3.92,5.35,4.36,13.63,35.09,52.21,6886.59,2.0,0.0,2024-07-14,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
18.0,0.07,2.64,2.4,5.12,50.07,44.96,2313.2,3.0,0.0,2024-06-03,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
42.0,5.59,11.44,1.45,18.48,60.79,43.53,9009.53,0.0,6.0,2024-05-09,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
60.0,0.86,4.62,1.31,6.79,24.61,61.64,3161.74,4.0,6.0,2023-11-07,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
55.0,0.57,8.92,3.09,12.58,35.83,49.01,6425.93,0.0,3.0,2024-01-15,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
37.0,1.65,1.15,6.65,9.44,57.29,35.07,4507.42,0.0,1.0,2024-07-02,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20.0,1.56,5.91,0.7,8.18,48.77,43.82,4068.24,1.0,0.0,2024-04-13,0.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
19.0,0.2,4.15,5.19,9.53,56.66,38.26,4680.18,1.0,0.0,2024-08-24,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
35.0,2.81,2.83,0.32,5.95,45.84,41.44,3007.23,0.0,7.0,2024-11-01,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
61.0,1.29,1.87,2.81,5.96,20.7,61.07,3105.78,2.0,3.0,2024-06-22,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
27.0,2.97,12.19,0.15,15.31,67.33,43.86,7763.94,1.0,4.0,2024-08-26,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22.0,3.99,12.41,0.0,16.4,58.78,44.51,8211.76,4.0,3.0,2024-05-24,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
26.0,2.54,2.6,7.49,12.63,64.34,37.21,6292.41,3.0,0.0,2024-11-03,1.0,1.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19.0,4.57,7.87,5.21,17.66,65.8,39.67,8766.4,1.0,1.0,2023-11-06,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
48.0,3.04,3.84,4.23,11.1,38.51,47.99,5406.47,3.0,0.0,2024-07-18,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
27.0,0.34,2.13,2.58,5.05,55.9,39.69,2672.04,1.0,9.0,2023-12-17,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
29.0,0.89,6.43,3.28,100.0,60.71,37.91,100.0,2.0,0.0,2024-03-06,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
53.0,2.91,6.52,2.25,11.68,32.8,49.73,6048.32,2.0,9.0,2024-05-22,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
38.0,3.47,8.61,5.15,17.23,70.44,40.54,8513.63,2.0,4.0,2024-10-02,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
64.0,0.71,5.33,2.98,9.02,17.87,66.26,4629.9,0.0,5.0,2024-06-15,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
20.0,0.64,6.84,7.14,14.62,65.48,37.72,7241.21,2.0,0.0,2023-10-25,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.0,0.0,9.7,1.9,11.6,54.54,41.08,5706.68,3.0,4.0,2024-08-28,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22.0,2.61,7.87,3.32,13.8,56.22,43.03,7088.86,1.0,4.0,2024-08-17,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
63.0,3.0,5.71,0.0,8.72,10.55,66.21,4638.18,3.0,4.0,2024-11-23,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
43.0,6.45,1.29,2.59,10.33,60.99,46.39,5139.78,0.0,4.0,2024-02-10,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
38.0,0.28,6.77,1.2,8.25,57.9,42.33,4319.15,0.0,6.0,2024-10-08,1.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
43.0,1.91,5.73,1.15,8.8,54.3,47.6,4678.9,4.0,5.0,2024-03-18,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
61.0,2.09,4.19,0.0,6.28,22.29,65.64,2885.81,0.0,2.0,2023-10-18,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
43.0,3.53,8.69,5.29,17.52,60.64,39.63,8885.65,3.0,8.0,2024-07-19,1.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
25.0,1.46,1.9,0.16,3.52,55.01,47.19,1782.67,0.0,6.0,2024-05-06,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
22.0,4.26,10.73,5.22,20.22,63.28,36.03,9819.31,4.0,3.0,2023-11-27,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
32.0,3.53,3.41,4.95,11.88,61.4,39.05,5791.51,4.0,6.0,2024-02-03,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33.0,7.58,10.46,5.26,23.3,70.86,35.16,11905.24,4.0,4.0,2024-12-14,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
33.0,2.37,3.16,3.77,9.31,54.02,39.57,4834.23,4.0,6.0,2024-06-03,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
54.0,5.8,2.82,5.44,14.06,37.04,51.07,7321.2,4.0,2.0,2023-12-10,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
20.0,0.51,11.81,3.68,16.0,65.08,41.27,8182.03,1.0,1.0,2024-09-06,1.0,1.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
64.0,0.0,1.11,0.55,1.66,10.22,65.75,534.26,2.0,3.0,2024-12-10,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
48.0,2.64,4.29,4.73,11.66,51.73,46.87,5704.14,0.0,4.0,2023-12-28,0.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
30.0,1.46,7.6,0.93,9.99,56.28,40.84,4713.77,4.0,3.0,2024-06-22,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
-1.0,2.78,1.16,2.94,6.89,52.24,40.09,3199.91,0.0,4.0,2024-10-11,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
60.0,0.18,7.48,5.62,13.28,26.32,52.34,6469.03,3.0,7.0,2024-03-08,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
38.0,1.47,6.64,1.44,9.55,247.2578,45.33,4779.57,0.0,3.0,2024-06-27,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
19.0,2.53,1.86,4.5,8.89,52.57,39.86,4653.56,1.0,1.0,2024-10-06,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
44.0,1.12,6.57,2.7,10.4,58.16,42.69,5415.29,0.0,8.0,2024-02-27,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43.0,2.91,5.55,0.07,8.52,59.83,48.44,4518.47,0.0,9.0,2024-12-11,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
63.0,0.37,9.37,2.48,12.22,12.73,63.47,6342.43,2.0,5.0,2024-06-08,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
42.0,2.65,6.06,2.78,11.5,60.02,45.28,5720.52,3.0,7.0,2024-02-12,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
28.0,1.03,3.19,2.6,6.82,52.24,38.58,3278.11,1.0,5.0,2024-05-31,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
25.0,1.03,0.05,5.24,6.31,57.53,40.95,3406.84,0.0,0.0,2024-07-19,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
25.0,6.27,5.04,3.91,15.21,60.4,38.83,7540.16,0.0,5.0,2023-12-24,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50.0,0.69,1.93,4.06,6.68,51.0,48.62,3344.22,0.0,9.0,2024-04-24,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
24.0,0.4,9.74,1.5,11.64,65.54,41.85,5717.18,0.0,5.0,2024-01-16,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
55.0,0.0,6.16,3.57,9.73,34.25,53.17,4961.96,2.0,0.0,2024-08-12,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
38.0,2.06,0.0,7.03,9.09,56.82,34.64,4841.77,3.0,5.0,2024-06-27,1.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25.0,4.18,10.26,2.91,17.36,65.76,40.69,8393.08,4.0,7.0,2024-10-27,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37.0,0.0,3.4,7.63,11.03,59.39,35.88,5215.82,0.0,1.0,2024-12-26,1.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
25.0,3.64,13.6,5.49,22.73,65.04,33.37,11283.88,3.0,5.0,2023-11-15,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.0,2.81,0.69,1.13,4.62,51.44,47.79,2041.74,2.0,1.0,2024-11-18,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26.0,0.84,3.74,5.28,9.85,61.22,37.65,4959.39,4.0,1.0,2024-12-21,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
32.0,4.14,11.37,3.25,18.76,63.81,39.72,9256.64,3.0,5.0,2024-05-10,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
47.0,3.68,6.99,2.12,12.79,54.1,45.99,6176.08,2.0,6.0,2024-04-02,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
27.0,3.13,7.52,0.16,10.81,63.9,40.3,5236.9,3.0,4.0,2024-06-26,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
33.0,6.59,10.77,8.14,25.5,70.15,32.25,12616.9,2.0,8.0,2024-12-04,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
53.0,2.03,3.21,4.75,9.99,43.71,51.51,5049.38,0.0,8.0,2023-10-12,1.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
37.0,2.76,4.77,5.54,13.07,58.03,35.28,6631.26,1.0,6.0,2024-03-03,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
62.0,1.85,7.74,3.24,12.83,24.1,56.94,6123.37,4.0,1.0,2024-10-16,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
54.0,2.38,3.52,0.0,5.9,36.08,53.28,2793.73,2.0,9.0,2024-03-11,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
24.0,1.17,3.54,0.75,5.46,64.76,43.27,2631.01,2.0,4.0,2024-08-06,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
40.0,2.24,3.66,7.24,100.0,57.82,39.08,100.0,1.0,0.0,2024-08-02,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
58.0,1.51,5.3,7.8,14.61,36.9,47.39,7479.12,1.0,4.0,2024-09-12,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
57.0,1.81,4.59,2.35,8.74,25.27,53.66,4447.15,0.0,3.0,2024-06-17,1.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
46.0,5.04,12.45,6.47,23.96,62.79,37.66,11880.99,0.0,1.0,2024-12-27,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
33.0,4.24,6.38,0.0,10.62,64.68,43.82,5429.08,1.0,8.0,2023-12-26,1.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
55.0,3.6,1.04,1.25,5.89,32.2,56.18,3151.7,4.0,2.0,2024-05-26,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
48.0,1.42,3.34,1.08,5.84,45.32,48.28,3069.24,0.0,4.0,2024-04-04,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
31.0,0.93,2.81,1.86,5.59,59.71,43.32,2837.82,3.0,0.0,2024-03-29,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
50.0,1.77,3.47,6.91,12.15,54.56,43.8,5964.31,0.0,3.0,2024-07-19,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
44.0,1.69,5.68,4.95,12.32,51.62,43.59,5982.7,4.0,0.0,2024-07-15,1.0,1.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
41.0,1.13,5.66,0.66,7.45,49.64,47.18,3891.39,4.0,4.0,2024-04-21,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30.0,3.66,3.05,2.65,9.36,60.6,39.85,4865.18,1.0,5.0,2024-05-31,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
46.0,0.88,3.8,1.57,6.25,46.06,45.84,3110.62,3.0,2.0,2024-12-29,1.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
60.0,3.53,5.07,2.5,11.1,30.71,59.42,5365.67,2.0,5.0,2024-01-15,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
45.0,0.56,5.57,1.19,7.32,51.74,45.7,3419.45,0.0,3.0,2024-10-02,1.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
45.0,2.39,8.57,1.83,12.8,54.24,47.17,6547.43,3.0,8.0,2024-02-10,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
40.0,5.17,11.07,5.96,22.2,63.88,33.69,11191.44,3.0,3.0,2024-04-24,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
46.0,3.29,1.24,6.6,11.13,42.7,39.9,5353.02,4.0,1.0,2024-02-07,1.0,0.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.0,3.4,2.97,5.64,12.01,60.33,36.38,6268.3,0.0,3.0,2024-12-22,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
59.0,1.06,15.39,5.18,21.63,37.91,52.36,11110.85,2.0,1.0,2024-11-11,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59.0,0.83,1.78,2.47,5.08,27.43,59.91,2598.34,4.0,6.0,2023-11-02,1.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
53.0,3.13,3.84,7.25,14.22,45.3,43.93,7277.28,4.0,2.0,2024-03-21,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
58.0,3.11,6.99,5.64,15.75,35.15,53.13,8014.55,4.0,8.0,2024-10-26,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
19.0,3.48,6.87,2.04,12.39,55.46,45.9,6244.21,2.0,0.0,2024-11-29,1.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
42.0,3.33,9.92,4.05,17.29,60.59,42.59,8762.65,4.0,9.0,2024-04-23,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
26.0,4.12,0.95,6.59,11.66,58.24,37.96,6064.11,4.0,1.0,2024-04-25,1.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
44.0,1.67,6.63,1.14,9.44,55.85,45.21,4946.86,3.0,2.0,2024-09-14,1.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18.0,3.76,4.21,2.95,10.93,53.25,44.27,5749.93,2.0,0.0,2024-11-19,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
40.0,0.89,0.48,2.94,4.31,53.22,45.93,2162.54,0.0,2.0,2024-12-04,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
27.0,0.0,1.69,0.9,2.59,54.95,40.9,1495.71,2.0,5.0,2024-09-08,1.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
59.0,2.43,6.41,2.12,10.96,32.67,57.74,5436.65,2.0,9.0,2023-12-27,1.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
42.0,5.34,0.13,2.8,8.27,57.06,41.74,4088.82,2.0,2.0,2024-06-20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
20.0,0.64,2.27,1.36,4.27,54.96,45.13,1985.9,4.0,1.0,2023-10-29,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
23.0,3.2,2.6,2.59,8.39,49.53,41.51,4386.09,4.0,1.0,2023-12-14,1.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
